time,location,dissolved_oxygen
1961-04-01T00:00:00Z,CalCOFI 93.30,2.01
1961-05-01T00:00:00Z,CalCOFI 93.30,NaN
1961-06-01T00:00:00Z,CalCOFI 93.30,NaN
1961-07-01T00:00:00Z,CalCOFI 93.30,1.83
1961-08-01T00:00:00Z,CalCOFI 93.30,NaN
1961-09-01T00:00:00Z,CalCOFI 93.30,NaN
1961-10-01T00:00:00Z,CalCOFI 93.30,1.66
1961-11-01T00:00:00Z,CalCOFI 93.30,NaN
1961-12-01T00:00:00Z,CalCOFI 93.30,NaN
1962-01-01T00:00:00Z,CalCOFI 93.30,NaN
1962-02-01T00:00:00Z,CalCOFI 93.30,1.99
1962-03-01T00:00:00Z,CalCOFI 93.30,NaN
1962-04-01T00:00:00Z,CalCOFI 93.30,1.83
1962-05-01T00:00:00Z,CalCOFI 93.30,NaN
1962-06-01T00:00:00Z,CalCOFI 93.30,NaN
1962-07-01T00:00:00Z,CalCOFI 93.30,1.57
1962-08-01T00:00:00Z,CalCOFI 93.30,NaN
1962-09-01T00:00:00Z,CalCOFI 93.30,NaN
1962-10-01T00:00:00Z,CalCOFI 93.30,2.27
1962-11-01T00:00:00Z,CalCOFI 93.30,NaN
1962-12-01T00:00:00Z,CalCOFI 93.30,NaN
1963-01-01T00:00:00Z,CalCOFI 93.30,2.27
1963-02-01T00:00:00Z,CalCOFI 93.30,2.17
1963-03-01T00:00:00Z,CalCOFI 93.30,NaN
1963-04-01T00:00:00Z,CalCOFI 93.30,2.07
1963-05-01T00:00:00Z,CalCOFI 93.30,NaN
1963-06-01T00:00:00Z,CalCOFI 93.30,NaN
1963-07-01T00:00:00Z,CalCOFI 93.30,2.69
1963-08-01T00:00:00Z,CalCOFI 93.30,NaN
1963-09-01T00:00:00Z,CalCOFI 93.30,NaN
1963-10-01T00:00:00Z,CalCOFI 93.30,2.71
1963-11-01T00:00:00Z,CalCOFI 93.30,NaN
1963-12-01T00:00:00Z,CalCOFI 93.30,NaN
1964-01-01T00:00:00Z,CalCOFI 93.30,NaN
1964-02-01T00:00:00Z,CalCOFI 93.30,2.78
1964-03-01T00:00:00Z,CalCOFI 93.30,NaN
1964-04-01T00:00:00Z,CalCOFI 93.30,2.38
1964-05-01T00:00:00Z,CalCOFI 93.30,NaN
1964-06-01T00:00:00Z,CalCOFI 93.30,NaN
1964-07-01T00:00:00Z,CalCOFI 93.30,NaN
1964-08-01T00:00:00Z,CalCOFI 93.30,NaN
1964-09-01T00:00:00Z,CalCOFI 93.30,NaN
1964-10-01T00:00:00Z,CalCOFI 93.30,2.93
