time,average_ESI,vessel_category
2009-01-01T00:00:00Z,1.86,vess_rev_5k_fish_2018
2010-01-01T00:00:00Z,1.9,vess_rev_5k_fish_2018
2011-01-01T00:00:00Z,1.84,vess_rev_5k_fish_2018
2012-01-01T00:00:00Z,1.83,vess_rev_5k_fish_2018
2013-01-01T00:00:00Z,1.81,vess_rev_5k_fish_2018
2014-01-01T00:00:00Z,1.78,vess_rev_5k_fish_2018
2015-01-01T00:00:00Z,1.78,vess_rev_5k_fish_2018
2016-01-01T00:00:00Z,1.77,vess_rev_5k_fish_2018
2017-01-01T00:00:00Z,1.78,vess_rev_5k_fish_2018
2018-01-01T00:00:00Z,1.77,vess_rev_5k_fish_2018
1981-01-01T00:00:00Z,2.13,vess_rev_5k_fish_1981-2018
1982-01-01T00:00:00Z,2.14,vess_rev_5k_fish_1981-2018
1983-01-01T00:00:00Z,2.05,vess_rev_5k_fish_1981-2018
1984-01-01T00:00:00Z,2.23,vess_rev_5k_fish_1981-2018
1985-01-01T00:00:00Z,2.12,vess_rev_5k_fish_1981-2018
1986-01-01T00:00:00Z,2.15,vess_rev_5k_fish_1981-2018
1987-01-01T00:00:00Z,2.21,vess_rev_5k_fish_1981-2018
1988-01-01T00:00:00Z,2.35,vess_rev_5k_fish_1981-2018
1989-01-01T00:00:00Z,2.01,vess_rev_5k_fish_1981-2018
1990-01-01T00:00:00Z,2.2,vess_rev_5k_fish_1981-2018
1991-01-01T00:00:00Z,2.27,vess_rev_5k_fish_1981-2018
1992-01-01T00:00:00Z,2.24,vess_rev_5k_fish_1981-2018
1993-01-01T00:00:00Z,2.3,vess_rev_5k_fish_1981-2018
1994-01-01T00:00:00Z,2.3,vess_rev_5k_fish_1981-2018
