time,species_group,relative_stock_status
1882-01-01T00:00:00Z,Petrale sole,0.999314
1883-01-01T00:00:00Z,Petrale sole,0.998724
1884-01-01T00:00:00Z,Petrale sole,0.997963
1885-01-01T00:00:00Z,Petrale sole,0.997046
1886-01-01T00:00:00Z,Petrale sole,0.995986
1887-01-01T00:00:00Z,Petrale sole,0.994795
1888-01-01T00:00:00Z,Petrale sole,0.993486
1889-01-01T00:00:00Z,Petrale sole,0.99207
1890-01-01T00:00:00Z,Petrale sole,0.990559
1891-01-01T00:00:00Z,Petrale sole,0.988962
1892-01-01T00:00:00Z,Petrale sole,0.987289
1893-01-01T00:00:00Z,Petrale sole,0.985549
1894-01-01T00:00:00Z,Petrale sole,0.983747
1895-01-01T00:00:00Z,Petrale sole,0.981893
1896-01-01T00:00:00Z,Petrale sole,0.979992
1897-01-01T00:00:00Z,Petrale sole,0.978044
1898-01-01T00:00:00Z,Petrale sole,0.976061
1899-01-01T00:00:00Z,Petrale sole,0.974048
1900-01-01T00:00:00Z,Petrale sole,0.972006
1901-01-01T00:00:00Z,Petrale sole,0.969941
1902-01-01T00:00:00Z,Petrale sole,0.967855
1903-01-01T00:00:00Z,Petrale sole,0.965751
1904-01-01T00:00:00Z,Petrale sole,0.963632
1905-01-01T00:00:00Z,Petrale sole,0.9615
1906-01-01T00:00:00Z,Petrale sole,0.959358
1907-01-01T00:00:00Z,Petrale sole,0.957207
1908-01-01T00:00:00Z,Petrale sole,0.95505
1909-01-01T00:00:00Z,Petrale sole,0.952888
1910-01-01T00:00:00Z,Petrale sole,0.950723
1911-01-01T00:00:00Z,Petrale sole,0.948557
1912-01-01T00:00:00Z,Petrale sole,0.946392
1913-01-01T00:00:00Z,Petrale sole,0.94423
1914-01-01T00:00:00Z,Petrale sole,0.942072
1915-01-01T00:00:00Z,Petrale sole,0.93992
1916-01-01T00:00:00Z,Petrale sole,0.937777
1917-01-01T00:00:00Z,Petrale sole,0.935738
1918-01-01T00:00:00Z,Petrale sole,0.931225
1919-01-01T00:00:00Z,Petrale sole,0.928991
1920-01-01T00:00:00Z,Petrale sole,0.928746
1921-01-01T00:00:00Z,Petrale sole,0.930652
1922-01-01T00:00:00Z,Petrale sole,0.931408
1923-01-01T00:00:00Z,Petrale sole,0.929712
1924-01-01T00:00:00Z,Petrale sole,0.9281
1925-01-01T00:00:00Z,Petrale sole,0.924615
1926-01-01T00:00:00Z,Petrale sole,0.921458
